DATE,VALUE
1970-01-01,105.1
1970-02-01,97.1
1970-03-01,95.8
1970-04-01,103.4
1970-05-01,107.5
1970-06-01,130.7
1970-07-01,117.3
1970-08-01,147.5
1970-09-01,128.9
1970-10-01,141.0
1970-11-01,120.5
1970-12-01,123.5
1971-01-01,107.3
1971-02-01,98.4
1971-03-01,108.2
1971-04-01,133.2
1971-05-01,133.7
1971-06-01,144.3
1971-07-01,145.6
1971-08-01,171.4
1971-09-01,169.9
1971-10-01,174.6
1971-11-01,153.0
1971-12-01,166.5
1972-01-01,145.3
1972-02-01,143.5
1972-03-01,144.9
1972-04-01,148.4
1972-05-01,153.4
1972-06-01,173.9
1972-07-01,162.8
1972-08-01,189.7
1972-09-01,193.0
1972-10-01,193.6
1972-11-01,164.3
1972-12-01,191.1
1973-01-01,161.6
1973-02-01,143.5
1973-03-01,163.0
1973-04-01,167.1
1973-05-01,182.2
1973-06-01,202.1
1973-07-01,172.7
1973-08-01,185.8
1973-09-01,188.1
1973-10-01,198.8
1973-11-01,164.6
1973-12-01,171.0
1974-01-01,143.2
1974-02-01,131.2
1974-03-01,136.9
1974-04-01,137.7
1974-05-01,137.3
1974-06-01,166.5
1974-07-01,142.2
1974-08-01,147.0
1974-09-01,151.1
1974-10-01,155.9
1974-11-01,138.5
1974-12-01,141.0
1975-01-01,117.4
1975-02-01,91.8
1975-03-01,99.2
1975-04-01,92.3
1975-05-01,107.2
1975-06-01,109.9
1975-07-01,107.4
1975-08-01,115.8
1975-09-01,122.9
1975-10-01,110.7
1975-11-01,121.6
1975-12-01,120.9
1976-01-01,91.5
1976-02-01,89.2
1976-03-01,100.7
1976-04-01,95.8
1976-05-01,113.5
1976-06-01,120.8
1976-07-01,115.6
1976-08-01,126.0
1976-09-01,128.4
1976-10-01,132.4
1976-11-01,129.8
1976-12-01,133.5
1977-01-01,103.4
1977-02-01,109.7
1977-03-01,122.1
1977-04-01,112.1
1977-05-01,121.4
1977-06-01,145.0
1977-07-01,142.6
1977-08-01,155.3
1977-09-01,172.2
1977-10-01,162.4
1977-11-01,159.1
1977-12-01,151.9
1978-01-01,125.8
1978-02-01,115.9
1978-03-01,132.9
1978-04-01,136.0
1978-05-01,146.1
1978-06-01,167.3
1978-07-01,166.5
1978-08-01,177.7
1978-09-01,180.8
1978-10-01,180.0
1978-11-01,167.4
1978-12-01,171.2
1979-01-01,130.0
1979-02-01,126.1
1979-03-01,149.2
1979-04-01,141.8
1979-05-01,154.9
1979-06-01,165.6
1979-07-01,150.0
1979-08-01,159.1
1979-09-01,180.0
1979-10-01,173.9
1979-11-01,166.0
1979-12-01,174.2
1980-01-01,124.9
1980-02-01,126.4
1980-03-01,129.9
1980-04-01,135.0
1980-05-01,119.8
1980-06-01,131.8
1980-07-01,125.1
1980-08-01,127.9
1980-09-01,116.6
1980-10-01,120.3
1980-11-01,114.3
1980-12-01,129.5
1981-01-01,87.9
1981-02-01,93.8
1981-03-01,105.6
1981-04-01,111.3
1981-05-01,97.7
1981-06-01,123.1
1981-07-01,111.6
1981-08-01,109.8
1981-09-01,110.2
1981-10-01,116.7
1981-11-01,92.6
1981-12-01,105.5
1982-01-01,72.5
1982-02-01,63.1
1982-03-01,73.0
1982-04-01,74.9
1982-05-01,85.5
1982-06-01,85.2
1982-07-01,85.6
1982-08-01,90.2
1982-09-01,84.0
1982-10-01,102.2
1982-11-01,93.6
1982-12-01,95.7
1983-01-01,81.9
1983-02-01,77.3
1983-03-01,87.7
1983-04-01,90.9
