DATE,VALUE
1970-01-01,4690.4
1970-04-01,4690.2
1970-07-01,4728.9
1970-10-01,4684.5
1971-01-01,4778.0
1971-04-01,4809.4
1971-07-01,4851.0
1971-10-01,4912.9
1972-01-01,4983.7
1972-04-01,5047.6
1972-07-01,5129.7
1972-10-01,5261.5
1973-01-01,5355.4
1973-04-01,5384.8
1973-07-01,5402.8
1973-10-01,5459.5
1974-01-01,5417.2
1974-04-01,5395.6
1974-07-01,5367.0
1974-10-01,5303.0
1975-01-01,5242.6
1975-04-01,5287.0
1975-07-01,5393.8
1975-10-01,5449.1
1976-01-01,5562.5
1976-04-01,5597.3
1976-07-01,5638.8
1976-10-01,5655.9
1977-01-01,5707.3
1977-04-01,5853.2
1977-07-01,5965.7
1977-10-01,6000.7
1978-01-01,6037.7
1978-04-01,6216.8
1978-07-01,6257.5
1978-10-01,6313.4
1979-01-01,6372.4
1979-04-01,6338.3
1979-07-01,6345.1
1979-10-01,6371.7
1980-01-01,6376.2
1980-04-01,6257.2
1980-07-01,6303.4
1980-10-01,6464.0
1981-01-01,6514.4
1981-04-01,6515.0
1981-07-01,6605.9
1981-10-01,6531.2
1982-01-01,6478.3
1982-04-01,6504.2
1982-07-01,6478.8
1982-10-01,6452.1
1983-01-01,6524.1
1983-04-01,6635.1
1983-07-01,6725.8
1983-10-01,6879.5
1984-01-01,7070.4
1984-04-01,7184.7
1984-07-01,7263.7
1984-10-01,7342.6
1985-01-01,7407.5
1985-04-01,7461.5
1985-07-01,7552.9
1985-10-01,7595.7
1986-01-01,7673.0
1986-04-01,7693.4
1986-07-01,7744.5
1986-10-01,7805.6
1987-01-01,7884.2
1987-04-01,8009.4
1987-07-01,8129.2
1987-10-01,8236.0
1988-01-01,8335.5
1988-04-01,8432.7
1988-07-01,8507.6
1988-10-01,8625.0
1989-01-01,8681.7
1989-04-01,8664.6
1989-07-01,8697.8
1989-10-01,8704.5
1990-01-01,8795.4
1990-04-01,8845.3
1990-07-01,8837.0
1990-10-01,8794.8
1991-01-01,8783.3
1991-04-01,8806.3
1991-07-01,8829.6
1991-10-01,8862.7
1992-01-01,9017.6
1992-04-01,9091.2
1992-07-01,9120.1
1992-10-01,9209.7
1993-01-01,9171.9
1993-04-01,9284.9
1993-07-01,9300.8
1993-10-01,9482.3
1994-01-01,9533.5
1994-04-01,9683.7
1994-07-01,9774.9
1994-10-01,9887.4
1995-01-01,9934.0
1995-04-01,9991.4
1995-07-01,10114.0
1995-10-01,10178.4
1996-01-01,10289.1
1996-04-01,10443.8
1996-07-01,10542.3
1996-10-01,10673.8
1997-01-01,10796.0
1997-04-01,10923.2
1997-07-01,11105.9
1997-10-01,11250.9
1998-01-01,11371.1
1998-04-01,11534.1
1998-07-01,11697.9
1998-10-01,11805.7
1999-01-01,11952.0
1999-04-01,12026.2
1999-07-01,12137.4
1999-10-01,12335.9
2000-01-01,12587.7
2000-04-01,12657.5
2000-07-01,12751.6
2000-10-01,12729.0
2001-01-01,12876.4
2001-04-01,12853.0
2001-07-01,12807.3
2001-10-01,12742.9
2002-01-01,12907.7
2002-04-01,12986.9
2002-07-01,13003.8
2002-10-01,13078.9
2003-01-01,13099.6
2003-04-01,13221.5
2003-07-01,13348.1
2003-10-01,13479.1
2004-01-01,13581.8
2004-04-01,13722.4
2004-07-01,13878.8
2004-10-01,13949.0
2005-01-01,14084.9
2005-04-01,14185.8
2005-07-01,14310.8
2005-10-01,14508.0
2006-01-01,14782.8
2006-04-01,14805.1
2006-07-01,14863.7
2006-10-01,14920.2
2007-01-01,14882.6
2007-04-01,14904.1
2007-07-01,14822.4
2007-10-01,14816.6
2008-01-01,14842.2
2008-04-01,14832.4
2008-07-01,14767.0
2008-10-01,14479.5
2009-01-01,14257.8
2009-04-01,14259.2
2009-07-01,14328.1
2009-10-01,14528.3
2010-01-01,14547.3
2010-04-01,14648.6
2010-07-01,14839.5
2010-10-01,14904.9
2011-01-01,14924.4
2011-04-01,14996.1
2011-07-01,15093.1
2011-10-01,15217.0
2012-01-01,15484.9
2012-04-01,15509.8
2012-07-01,15559.0
2012-10-01,15718.4
2013-01-01,15774.1
2013-04-01,15879.1
2013-07-01,15955.4
2013-10-01,16027.6
2014-01-01,15996.4
2014-04-01,16152.2
2014-07-01,16358.2
2014-10-01,16485.4
